product_id,coded_cat1,coded_cat2,coded_cat3,coded_brand,coded_name
164766,2664,2256,1098,550,2308
179061,2664,2256,1098,550,2622
196518,2664,2256,2860,550,4273
196546,2664,2256,2860,550,4261
196959,2664,2256,2860,319,4117
196590,2664,2256,2860,550,5230
196591,2664,2256,2860,550,5232
212352,2664,2256,2860,769,4579
212355,2664,2256,2860,769,4866
212334,2664,2256,3274,769,4851
212337,2664,2256,3274,769,4849
212661,2664,2256,3274,769,4830
212550,2664,2256,2431,769,4395
212602,2664,2256,2860,769,4558
212463,2664,2256,5581,769,4600
212571,2664,2256,2431,769,4359
212574,2664,2256,2431,769,4360
212592,2664,2256,2431,769,4312
212622,2664,2256,6799,769,4248
212659,2664,2256,6799,769,3057
205899,2664,2256,2860,1062,4471
194298,2664,2256,1098,1062,2677
215793,2664,2256,2431,1041,4291
205224,2664,2256,1098,550,2946
205210,2664,2256,2431,550,4203
205245,2664,2256,2431,550,4152
205249,2664,2256,2431,550,4143
207958,2664,2256,2860,319,4170
200815,2664,2256,2860,582,4417
212493,2664,2256,3124,769,5005
212610,2664,2256,3124,769,4260
205231,2664,2256,3124,550,5013
205233,2664,2256,3124,550,4824
205237,2664,2256,3124,550,5005
205308,2664,2256,3124,550,4495
216471,2664,2256,2431,759,4029
216205,2664,2256,3274,981,4384
216207,2664,2256,3274,981,4392
221019,2664,2256,2860,585,3909
216466,2664,2256,1098,759,2814
216468,2664,2256,1098,759,2743
216472,2664,2256,3124,759,4993
216475,2664,2256,3124,759,4827
212568,2664,2256,1098,769,3063
221020,2664,2256,2860,970,5548
221022,2664,2256,2860,970,5550
227161,2664,2256,2860,585,4624
212770,2664,2256,2860,877,4063
227163,2664,2256,2860,585,5275
227164,2664,2256,2860,585,4921
228492,2664,2256,2860,585,4725
226402,2664,2256,2860,759,4359
220276,2664,2256,3124,759,4851
230979,2664,2256,6799,769,4527
230976,2664,2256,1098,769,3129
213862,2664,2256,3274,816,5091
216775,2664,2256,1593,658,4066
222309,2664,2256,2431,759,4231
225900,2664,2256,2860,981,4728
234463,2664,2256,3124,550,4909
214446,2664,2256,3274,1293,4519
226458,2664,2256,2860,319,4132
234222,2664,2256,1098,585,2199
226084,2664,2256,2860,655,4497
242523,2664,2256,2860,655,4440
241894,2664,2256,2860,1062,4945
237993,2664,2256,3124,769,5158
238110,2664,2256,3124,769,5697
230977,2664,2256,3081,769,4837
241888,2664,2256,2860,769,4716
242521,2664,2256,2860,769,4678
244860,2664,2256,2860,769,4126
243051,2664,2256,2860,981,4158
241893,2664,2256,2860,319,4185
244594,2664,2256,2860,585,4270
239359,2664,2256,2860,585,4002
239362,2664,2256,2860,585,4069
243057,2664,2256,2860,981,3054
238107,2664,2256,1098,769,4104
238806,2664,2256,2860,759,3597
241197,2664,2256,2860,759,4720
241198,2664,2256,2860,759,4554
241204,2664,2256,2860,759,4183
241219,2664,2256,2860,759,4513
241221,2664,2256,2860,759,4071
241224,2664,2256,2860,759,4044
241225,2664,2256,2860,759,4050
230965,2664,2256,3124,759,5010
239271,2664,2256,3124,759,4885
239277,2664,2256,3124,759,4819
234190,2664,2256,3274,759,4714
234192,2664,2256,3274,970,4585
228795,2664,2256,2860,550,5257
228796,2664,2256,2860,550,5262
239364,2664,2256,2860,585,4116
239377,2664,2256,2860,585,3979
235131,2664,2256,3124,550,5550
242431,2664,2256,3274,319,4885
241401,2664,2256,2860,648,4248
241402,2664,2256,2860,648,4251
241404,2664,2256,2860,648,4230
241405,2664,2256,2860,648,4233
241407,2664,2256,2860,648,4306
241408,2664,2256,2860,648,4309
241410,2664,2256,2860,648,4092
241413,2664,2256,2860,648,4092
229509,2664,2256,2121,550,4758
275343,2664,2256,3124,781,4629
275743,2664,2256,3124,781,4552
238129,2664,2256,3081,769,4840
275229,2664,2256,2860,1056,4659
275344,2664,2256,2860,781,4527
229512,2664,2256,2121,550,4914
157545,2062,2662,1548,423,2694
165889,2062,2662,1755,805,3556
195385,2062,2662,1548,715,3043
213363,2062,2662,1548,640,2881
194016,2062,2662,1755,886,3600
194019,2062,2662,1755,886,3588
188851,2062,2662,1755,805,3568
213475,2062,2662,1755,418,2865
213477,2062,2662,1755,418,2866
209068,2062,2662,1548,597,3312
216027,2062,2662,1548,678,2943
217255,2062,2662,1755,687,3151
217300,2062,2662,1755,687,3150
210501,2062,2662,1548,1164,3762
226915,2062,2662,1548,823,3198
213379,2062,2662,1755,828,3426
229458,2062,2662,1548,1164,4588
241776,2062,2662,1548,1164,4332
237528,2062,2662,1755,687,3378
274192,2062,2662,1755,687,4039
154332,3388,2118,3703,588,3909
158278,3388,2118,3703,1021,3957
158280,3388,2118,3703,1021,3975
158652,3388,2118,3502,471,5280
168259,3388,2118,3502,471,5233
182239,3388,2118,2118,588,3232
161137,3388,2118,2118,927,3810
167766,3388,2118,2118,550,3496
167767,3388,2118,2118,550,3501
166500,3388,2118,3703,783,4138
166501,3388,2118,3703,783,4122
150682,3388,2118,3502,418,4047
150687,3388,2118,3502,418,4053
162628,3388,2118,3703,541,3976
162630,3388,2118,3703,541,4113
162631,3388,2118,3703,541,4116
162633,3388,2118,3703,541,4108
195100,3388,2118,2809,550,4635
184954,3388,2118,3703,1021,3847
199711,3388,2118,2809,550,4644
175584,3388,2118,2809,927,4023
183823,3388,2118,3502,471,4767
184054,3388,2118,3502,471,4665
184062,3388,2118,3502,471,4654
189754,3388,2118,2118,783,3889
206308,3388,2118,3502,786,4200
193185,3388,2118,2118,597,3531
193186,3388,2118,2118,597,3555
195349,3388,2118,2118,663,3657
195142,3388,2118,3502,471,5151
195145,3388,2118,3502,471,5362
195481,3388,2118,2118,550,3550
203773,3388,2118,2809,1525,5610
203775,3388,2118,2809,1525,5664
203776,3388,2118,2809,1525,5553
203778,3388,2118,2809,1525,5640
203779,3388,2118,2809,1525,5415
203781,3388,2118,2809,1525,4902
203782,3388,2118,2809,1525,5097
203785,3388,2118,2809,1525,5766
208426,3388,2118,2809,1525,5797
208429,3388,2118,2809,1525,5805
208431,3388,2118,2809,1525,5562
212904,3388,2118,2809,1525,5565
212905,3388,2118,2809,1525,5812
212907,3388,2118,2809,1525,5383
199273,3388,2118,3502,751,4578
199275,3388,2118,3502,751,4810
199276,3388,2118,3502,751,4641
199278,3388,2118,3502,751,5118
199279,3388,2118,3502,751,5419
199281,3388,2118,3502,751,4771
199282,3388,2118,3502,751,4704
199284,3388,2118,3502,751,5485
192925,3388,2118,2118,927,4273
205084,3388,2118,2809,927,4303
209403,3388,2118,2118,550,3822
215787,3388,2118,2118,550,3852
181491,3388,2118,2118,607,3571
210765,3388,2118,2809,805,4164
210877,3388,2118,2809,805,4116
198964,3388,2118,3703,783,4431
214839,3388,2118,2118,783,4078
214840,3388,2118,2118,783,4047
215782,3388,2118,3703,550,3819
212881,3388,2118,2118,607,3712
212883,3388,2118,2118,607,3718
212884,3388,2118,2118,607,3771
200625,3388,2118,2809,607,4221
200626,3388,2118,2809,607,4197
200628,3388,2118,2809,607,4203
200629,3388,2118,2809,607,4207
229317,3388,2118,2118,550,3829
212911,3388,2118,2809,1525,5263
212914,3388,2118,2809,1525,5718
214542,3388,2118,3502,646,3610
214543,3388,2118,3502,646,3612
214545,3388,2118,3502,646,3613
214546,3388,2118,3502,646,3603
214548,3388,2118,3502,646,3604
227958,3388,2118,2118,550,3850
232344,3388,2118,2118,588,3459
226585,3388,2118,3502,805,4362
226587,3388,2118,3502,805,4368
226588,3388,2118,3502,805,4365
226590,3388,2118,3502,805,4360
226591,3388,2118,3502,805,4362
226581,3388,2118,2809,805,4408
228318,3388,2118,3703,588,4038
240672,3388,2118,2809,805,4693
244477,3388,2118,3502,1093,5748
244480,3388,2118,3502,1093,5677
244482,3388,2118,3502,1093,5689
244491,3388,2118,3502,1093,5800
244492,3388,2118,3502,1093,5833
244504,3388,2118,3502,1093,5727
232687,3388,2118,3502,550,4182
232689,3388,2118,3502,550,4180
240468,3388,2118,3502,1089,4162
242500,3388,2118,2809,550,4455
243048,3388,2118,2809,783,4644
244506,3388,2118,2809,1093,5685
244507,3388,2118,2809,1093,5794
244510,3388,2118,2809,1093,5709
236679,3388,2118,2118,433,3520
249285,3388,2118,2809,864,5194
214549,3388,2118,2809,646,4269
234571,3388,2118,2809,927,4555
234576,3388,2118,2809,927,4248
242797,3388,2118,2809,781,3969
242799,3388,2118,2809,781,4209
249748,3388,2118,2118,732,3208
249078,3388,2118,3502,646,3609
240676,3388,2118,2809,805,4689
241140,3388,2118,2809,805,4408
241141,3388,2118,2809,805,4422
228462,3388,2118,2809,607,4419
238098,3388,2118,2118,550,3253
249072,3388,2118,3502,1122,4524
249075,3388,2118,3502,1122,4711
240451,3388,2118,3502,1035,4036
240456,3388,2118,3502,1035,3882
240457,3388,2118,3502,1035,3894
240459,3388,2118,3502,1035,4080
248043,3388,2118,3502,1167,5362
248046,3388,2118,3502,1167,5640
248047,3388,2118,3502,1167,5470
248049,3388,2118,3502,1167,5659
236008,3388,2118,2809,607,5343
236431,3388,2118,2809,607,4398
236433,3388,2118,2809,607,4419
244674,3388,2118,2809,607,4434
157126,4320,4284,7315,783,3226
162358,4320,4284,7315,679,3067
162363,4320,4284,7315,679,3651
162364,4320,4284,7315,679,3705
159150,4320,4284,1753,463,2905
182352,4320,4284,7315,783,4017
196038,4320,4284,7315,783,4995
196039,4320,4284,7315,783,5724
213402,4320,4284,7315,783,5125
213403,4320,4284,7315,783,5110
206275,4320,4284,1753,829,3321
206277,4320,4284,1753,829,3333
206278,4320,4284,1753,829,3328
206280,4320,4284,1753,829,3324
206281,4320,4284,1753,829,3328
198966,4320,4284,1753,379,2302
198967,4320,4284,1753,379,2304
210772,4320,4284,1753,588,3288
210774,4320,4284,1753,588,3144
221766,4320,4284,7315,682,5247
221763,4320,4284,1753,970,3289
221764,4320,4284,1753,970,3265
226999,4320,4284,7315,537,4108
227001,4320,4284,7315,537,4092
227002,4320,4284,7315,537,4117
227004,4320,4284,7315,537,4150
227005,4320,4284,7315,537,4240
227007,4320,4284,7315,537,4243
225594,4320,4284,1753,970,3388
229158,4320,4284,1753,528,3228
229164,4320,4284,1753,528,3147
235996,4320,4284,7315,684,4474
235998,4320,4284,7315,684,4539
224013,4320,4284,7315,679,4711
224014,4320,4284,7315,679,4614
224016,4320,4284,7315,679,5119
225799,4320,4284,7315,679,4623
224008,4320,4284,7315,816,4516
216819,4320,4284,7315,867,4606
237841,4320,4284,7315,805,4494
237843,4320,4284,7315,805,4497
237844,4320,4284,7315,805,4501
237846,4320,4284,7315,805,4479
229059,4320,4284,1753,379,2847
243021,4320,4284,1753,379,2788
237858,4320,4284,7315,679,3936
243189,4320,4284,7315,783,4594
243190,4320,4284,7315,783,4588
224085,4320,4284,1753,595,4363
224086,4320,4284,1753,595,4602
223959,4320,4284,7315,682,5427
228898,4320,4284,1753,528,3492
228900,4320,4284,1753,528,3556
230242,4320,4284,1753,453,2779
